0,1,2
2.0,9.621214303479064e-06,3120.1248049921996
2.0,8.356607395398896e-06,204909.1248049922
2.0,7.520571216446115e-06,406695.1248049922
2.0,6.849999863334233e-06,608469.1248049922
2.0,6.425571427826071e-06,810260.1248049922
2.0,5.992392743792152e-06,1012044.1248049922
2.0,5.606785634881817e-06,1213821.1248049922
2.0,5.26546409673756e-06,1415612.1248049922
2.0,4.987892680219375e-06,1617362.1248049922
2.0,4.770499799633399e-06,1819138.1248049922
2.0,4.588035608321661e-06,2020896.1248049922
2.0,4.349214123067213e-06,2222684.124804992
2.0,4.224214080750244e-06,2424441.124804992
2.0,4.041499778395519e-06,2626234.124804992
2.0,3.946321612602333e-06,2828022.124804992
2.0,3.7668928598577622e-06,3029807.124804992
2.0,3.699392891576281e-06,3231597.124804992
2.0,3.558892785804346e-06,3433385.124804992
2.0,3.4841784781747265e-06,3635142.124804992
2.0,3.393107135707396e-06,3836899.124804992
